Job Title,Key Skills,Experience
 Digital Media Planner," Media Planning, Digital Media",8
 Online Bidding Executive," pre sales, closing, software knowledge, clients, requirements, negotiating, client, online bidding, good communication, technology",3
 Trainee Research/ Research Executive- Hi- Tech Operations," Computer science, Fabrication, Quality check, Intellectual property, Electronics, Support services, Research, Management, Human resource management, Research Executive",4
 Technical Support, Technical Support,5
 Software Test Engineer -hyderabad," manual testing, test engineering, test cases, web testing, web technologies",2
 Opening For Adobe Analytics Specialist," adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst",5
 Sales- Fresher-for Leading Property Consultant," channel partners, real estate, negotiation, property, Residential Sales",4
 Opportunity For Azure Devops Architect For Hyderabad Location," TFS, Azure, Git, VSTS, Docker, DynaTrace, Splunk, AWS",3
 BDE- PUNE, Bde,10
 Technical Support/ Product Support," technical support, support services, application support, communication skills, voice based process, semi voice, semi voice process",3
 Executive Assistant To Chairman," secretary, executive assistant, ea",3
 SEO Executive," website, web analytics, xml, link building, google analytics, case studies, seo, social media, tracking, maintaining",8
 Workflow Coordinator," operations, workflow, tat, monitoring, mts, email",0
Oracle IDAM,"Oracle IDAM,OIM,OAM",4
 Looking Facebook /social Media Manager For our Digital Marketing Ageny," digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",6
 Wanted Engineering Fresher For MNC Chennai," instrumentation engineering, electrical engineering, Engineering, fresher, Trainee, immediate, Mechanical Engineering, electronics engineering, undergraduate",0
 Tooling &amp; Sampling," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",8
 Account Manager," Report Generation, Policies, analytical, procedures, Analysts, Data Entry, analytical skills",9
 Magento Developer," Copyright, Email, jQuery, XML, Javascript, CakePHP, Customer service, Open source, Facebook, CSS3",3
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad," C#, MS Dynamics CRM, Microsoft Dynamics, ms dynamics",2
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr," sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive, Territory Sales Manager",7
 Business Development / Corporate Sales," lead generation, business development, corporate sales",6
 Business Development Manager (BDM)," contract management, closing, it services, relationship building, managed services, selling, market research, business development manager, sales",6
 QA Executive, QA Executive,1
 Back End Java Developer - Restful Services/soap," Java EE, JMS, Core Java, JUnit, Weblogic, HTML, JPA, JSON, SOAP, SQL",4
 Product Engineer," Conceptualization, Architecting, Continuous improvement, SIDE, development, Front end, it",6
