Key Skills,Candidate name
" Media Planning, Digital Media",Alice_1
" pre sales, closing, software knowledge, clients, requirements, negotiating, client, online bidding, good communication, technology",Bob_2
" Computer science, Fabrication, Quality check, Intellectual property, Electronics, Support services, Research, Management, Human resource management, Research Executive",Carol_3
 Technical Support,David_4
" manual testing, test engineering, test cases, web testing, web technologies",Eve_5
" adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst",Frank_6
" channel partners, real estate, negotiation, property, Residential Sales",Grace_7
" TFS, Azure, Git, VSTS, Docker, DynaTrace, Splunk, AWS",Henry_8
 Bde,Isabel_9
" technical support, support services, application support, communication skills, voice based process, semi voice, semi voice process",User_10
" secretary, executive assistant, ea",User_11
" website, web analytics, xml, link building, google analytics, case studies, seo, social media, tracking, maintaining",User_12
" operations, workflow, tat, monitoring, mts, email",User_13
"Oracle IDAM,OIM,OAM",User_14
" digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",User_15
" instrumentation engineering, electrical engineering, Engineering, fresher, Trainee, immediate, Mechanical Engineering, electronics engineering, undergraduate",User_16
" Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",User_17
" Report Generation, Policies, analytical, procedures, Analysts, Data Entry, analytical skills",User_18
" Copyright, Email, jQuery, XML, Javascript, CakePHP, Customer service, Open source, Facebook, CSS3",User_19
" C#, MS Dynamics CRM, Microsoft Dynamics, ms dynamics",User_20
" sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive, Territory Sales Manager",User_21
" lead generation, business development, corporate sales",User_22
" contract management, closing, it services, relationship building, managed services, selling, market research, business development manager, sales",User_23
 QA Executive,User_24
" Java EE, JMS, Core Java, JUnit, Weblogic, HTML, JPA, JSON, SOAP, SQL",User_25
" Conceptualization, Architecting, Continuous improvement, SIDE, development, Front end, it",User_26
 Articulate Storyline,User_27
" Area Sales Management, Retail Sales, FMCG, Chocolate, confectionary, ASM, Area Sales Manager, area business manager",User_28
" C#, Java, OOP, C++, Multithreading, UML, OOAD, OOPS, .Net, debugging",User_29
" qmail, workflow, nagios, windows server, networking, mysql, monitoring, redhat, maintaining, centos",User_30
" Java, JPA, Hibernate, Project Management, JDBC, Scrum Master, Microservices, Agile, SOAP, Rest",User_31
vide,User_32
" Java, java api, Banking, j2ee, API, finance, core java, microservices",User_33
" GIS, ISO 27001, HR, information system, process, ISO 9001, Information security management, GIS software, Management, Edge",User_34
vide,User_35
" Administration, Administrative Support, Contract Logistics, Staff Development, Site Management, Quality Improvement, warehousing, Warehouse Operations",User_36
" filing, tds, service industry, pf, esi, returns, coaching, payroll, invoice, tally",User_37
